"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XCLI72SD","journalArticle","2024","Galván-Villa, Cristian M.; Solís-Marín, Francisco A.; Lopez, Karen; Cobb, Janessa; Díaz-Pérez, Leopoldo; Rezende-Ventura, Carlos R.; Slivak, Nataly; Ford, Colby T.; Janies, Daniel A.","Occurrence of the Indo-West Pacific starfish Luidia magnifica (Echinodermata: Asteroidea) in the Mexican Pacific and a possible introduction to the Caribbean region","Marine Biodiversity","","1867-1616, 1867-1624","10.1007/s12526-023-01397-2","https://link.springer.com/10.1007/s12526-023-01397-2","","2024-02","2025-02-21 22:50:38","2025-02-21 22:50:38","2025-02-21 22:50:38","1","","1","54","","Mar. Biodivers.","Occurrence of the Indo-West Pacific starfish Luidia magnifica (Echinodermata","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/E5H9A2LV/Occurrence of the Indo-West Pacific starfish Luidi - Galván-Villa et al. - 2024.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BX284KMJ","journalArticle","2023","Drenkard, Elizabeth J.; John, Jasmin G.; Stock, Charles A.; Lim, Hyung‐Gyu; Dunne, John P.; Ginoux, Paul; Luo, Jessica Y.","The Importance of Dynamic Iron Deposition in Projecting Climate Change Impacts on Pacific Ocean Biogeochemistry","Geophysical Research Letters","","0094-8276, 1944-8007","10.1029/2022GL102058","https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2022GL102058","Abstract             Deposition of mineral dust plays an important role in upper‐ocean biogeochemical processes, particularly by delivering iron to iron‐limited regions. Here we examine the impact of dynamically changing iron deposition on tropical Pacific Ocean biogeochemistry in fully coupled earth system model projections under several emissions scenarios. Projected end‐of‐21st‐century increases in central tropical Pacific dust and iron deposition strengthen with increasing emissions/radiative forcing, and are aligned with projected soil moisture decreases in adjacent land areas and precipitation increases over the equatorial Pacific. Increased delivery of soluble iron results in a reduction in, and eastward contraction of, equatorial Pacific phytoplankton iron limitation and shifts primary production and particulate organic carbon flux projections relative to a high emissions projection (SSP5‐8.5) wherein soluble iron deposition is prescribed as a static climatology. These results highlight modeling advances in representing coupled land‐air‐sea interactions to project basin‐scale patterns of ocean biogeochemical change.           ,              Plain Language Summary             We use an Earth System Model (ESM) to explore climate‐driven changes in the deposition of dust and iron from the atmosphere to the ocean under a range of climate change scenarios. These simulations use a “dynamic” approach for iron deposition which means iron deposition is affected by changing atmospheric dust loads and factoring in wind and precipitation which affect dust and iron transfer from the atmosphere to the ocean. Under increasing climate change scenarios, GFDL's ESM4.1 projects drier soil conditions, as well as more dust in the atmosphere and precipitation over the Pacific Ocean toward the end of the 21st century. Elevated levels of future iron delivery to the ocean reduce iron limitation of phytoplankton growth in the central Pacific. As a result, we find higher levels of phytoplankton production in the central, equatorial Pacific but lower levels downstream in the western and off‐equatorial Pacific because other nutrients necessary for growth are depleted by reduced upwelling and enhanced production in the eastern Pacific. This geographic pattern also appears in the change in carbon sinking from the surface ocean to depth. Overall, these results highlight how ESM advances can improve our understanding of climate change impacts on marine ecosystems.           ,              Key Points                                                                Dynamically modeled atmosphere‐to‐ocean soluble iron deposition permits deposition driver variability to affect upper ocean biogeochemistry                                                     Tropical Pacific iron deposition increases with radiative forcing, affecting phytoplankton nutrient limitation, production, and POC flux                                                     Deposition increases align with soil moisture decreases in adjacent land areas, and precipitation increases over the equatorial Pacific","2023-11-16","2025-02-21 22:50:43","2025-02-21 22:50:43","2025-02-21 22:50:43","e2022GL102058","","21","50","","Geophysical Research Letters","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/J28F66WF/The Importance of Dynamic Iron Deposition in Proje - Drenkard et al. - 2023.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7F3I587","journalArticle","2022","Tozer, William","Seasonal aquatic insect flight periodicities for a southern California reservoir, with new distributional records","The Pan-Pacific Entomologist","","0031-0603","10.3956/2022-98.2.116","https://bioone.org/journals/the-pan-pacific-entomologist/volume-98/issue-2/2022-98.2.116/Seasonal-aquatic-insect-flight-periodicities-for-a-southern-California-reservoir/10.3956/2022-98.2.116.full","","2022-06-30","2025-02-21 22:50:45","2025-02-21 22:50:45","2025-02-21 22:50:45","","","2","98","","The Pan-Pacific Entomologist","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LK3FTSVE","journalArticle","2015","Rivadeneira, Marcelo M.; Alballay, Alex H.; Villafaña, Jaime A.; Raimondi, Peter T.; Blanchette, Carol A.; Fenberg, Phillip B.","Geographic patterns of diversification and the latitudinal gradient of richness of rocky intertidal gastropods: the ‘into the tropical museum’ hypothesis","Global Ecology and Biogeography","","1466-822X, 1466-8238","10.1111/geb.12328","https://onlinelibrary.wiley.com/doi/10.1111/geb.12328","Abstract                            Aim                                To evaluate the existence of a latitudinal gradient of richness (                 LGR                 ) in rocky intertidal gastropods and the role of evolutionary processes in shaping the                 LGR                 .                                                        Location                                The entire eastern                 P                 acific coast, from                 A                 laska to                 T                 ierra del                 F                 uego, encompassing ca. 120° latitude.                                                        Methods                                The                 LGR                 was assessed using field surveys and a comprehensive literature dataset from 308 rocky intertidal sites, representing 328 species and 159 genera. The importance of geographic patterns of diversification in shaping the                 LGR                 was assessed using three complementary approaches. First, we used the fossil record to evaluate the region of origination of genera (tropical vs. extra‐tropical). Secondly, we used a nestedness analysis to compare present‐day biogeographic distributions of genera with their region of origin. Finally, we evaluated the importance of biogeographic dynamics for shaping the                 LGR                 using a projection matrix and estimating transition probabilities among different biogeographic states.                                                        Results                                E                 astern                 P                 acific rocky intertidal gastropods follow the canonical latitudinal gradient of richness (higher richness in the tropics). Originations were similar in the tropics and extra‐tropics, a pattern that was robust to geographic differences in fossil sampling. The biogeographic distribution of genera was significantly nested, irrespective of the region of origin of genera. The distribution dynamics model accurately reproduced the                 LGR                 and showed that key‐transitions are low extinction in the tropics and high dispersal of taxa from the extra‐tropics to the tropics.                                                        Conclusions                                The existence of a canonical                 LGR                 in rocky intertidal gastropods can be explained by the combined effect of reduced extinction rates in the tropics and the range expansion of taxa from the extra‐tropics toward the tropics, in what we have called the ‘into the tropical museum’ hypothesis.","2015-10","2025-02-21 22:50:46","2025-02-21 22:50:46","2025-02-21 22:50:46","1149-1158","","10","24","","Global Ecology and Biogeography","Geographic patterns of diversification and the latitudinal gradient of richness of rocky intertidal gastropods","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/ZXG2HVFD/Geographic patterns of diversification and the lat - Rivadeneira et al. - 2015.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLB8746Q","journalArticle","2018","Merlo, Emily M.; Milligan, Kathryn A.; Sheets, Nola B.; Neufeld, Christopher J.; Eastham, Tao M.; Estores-Pacheco, A.L. Ka’ala; Steinke, Dirk; Hebert, Paul D.N.; Valdés, Ángel; Wyeth, Russell C.","Range extension for the region of sympatry between the nudibranchs <i>Hermissenda opalescens</i> and <i>Hermissenda crassicornis</i> in the northeastern Pacific","FACETS","","2371-1671","10.1139/facets-2017-0060","http://www.facetsjournal.com/doi/10.1139/facets-2017-0060","The mollusc nudibranch genus Hermissenda Bergh, 1879 was recently discovered to include three pseudocryptic species, dividing a single species H. crassicornis (sensu lato) into H. crassicornis Escholtz, 1831, H. opalescens J.G. Cooper, 1863, and H. emurai Baba, 1937. The species were distinguished by both genetic and morphological evidence, and the distribution of sampled animals suggested the three species had mostly distinct geographical ranges. Here, we report the presence of both H. crassicornis and H. opalescens in Barkley and Clayoquot Sounds, British Columbia, Canada, based on diagnostic characters and molecular data congruent with the differences described for these two species. This result extends the region of sympatry for the two species from northern California, USA, to, at least, Vancouver Island, British Columbia in 2016. Depending on how long this overlap has occurred, the possible northward expansion of H. opalescens would have implications for understanding the effects of short- or long-term environmental changes in ocean temperatures as well as complicating the interpretation of past neurobiological studies of H. crassicornis (sensu lato).","2018-10-01","2025-02-21 22:50:47","2025-02-21 22:50:47","2025-02-21 22:50:47","764-776","","1","3","","FACETS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/F2CRAZU9/Range extension for the region of sympatry between - Merlo et al. - 2018.pdf","","","","Kerr, Jeremy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNDGCAXV","journalArticle","2007","Cordell, Jr; Rasmussen, M; Bollens, Sm","Biology of the introduced copepod Pseudodiaptomus inopinus in a northeast Pacific estuary","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps333213","http://www.int-res.com/abstracts/meps/v333/p213-227/","","2007-03-12","2025-02-21 22:50:49","2025-02-21 22:50:49","2025-02-21 22:50:49","213-227","","","333","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADSX6QJ7","journalArticle","2007","Zeidberg, Louis D.; Robison, Bruce H.","Invasive range expansion by the Humboldt squid, <i>Dosidicus gigas</i> , in the eastern North Pacific","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.0702043104","https://pnas.org/doi/full/10.1073/pnas.0702043104","A unique 16-year time series of deep video surveys in Monterey Bay reveals that the Humboldt squid,               Dosidicus gigas               , has substantially expanded its perennial geographic range in the eastern North Pacific by invading the waters off central California. This sustained range expansion coincides with changes in climate-linked oceanographic conditions and a reduction in competing top predators. It is also coincident with a decline in the abundance of Pacific hake, the most important commercial groundfish species off western North America. Recognizing the interactive effects of multiple changes in the environment is an issue of growing concern in ocean conservation and sustainability research.","2007-07-31","2025-02-21 22:50:51","2025-02-21 22:50:51","2025-02-21 22:50:51","12948-12950","","31","104","","Proc. Natl. Acad. Sci. U.S.A.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/KVECN8YK/Invasive range expansion by the Humboldt squid, i - Zeidberg and Robison - 2007.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TLFGT24","journalArticle","1998","Gómez-Gutierrez, Jaime; Shields, Jeffrey D.","Range Extension for Oculophryxus Bicaulis Shields & Gómez, 1996 (Isopoda, Dajidae) in the South China Sea","Crustaceana","","0011-216X, 1568-5403","10.1163/156854098X00149","https://brill.com/view/journals/cr/71/2/article-p167_4.xml","","1998","2025-02-21 22:50:53","2025-02-21 22:50:53","2025-02-21 22:50:53","167-170","","2","71","","Crustac","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZRYE79D","journalArticle","2020","O'Loughlin, Jessica H.; Bernard, Kim S.; Daly, Elizabeth A.; Zeman, Samantha; Fisher, Jennifer L.; Brodeur, Richard D.; Hurst, Thomas P.","Implications of Pyrosoma atlanticum range expansion on phytoplankton standing stocks in the Northern California Current","Progress in Oceanography","","00796611","10.1016/j.pocean.2020.102424","https://linkinghub.elsevier.com/retrieve/pii/S0079661120301634","","2020-10","2025-02-21 22:50:54","2025-02-21 22:50:54","2025-02-21 22:50:54","102424","","","188","","Progress in Oceanography","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESHGD8FP","journalArticle","2023","Monteiro, Marta; De Castro, Samuel L.P.; Marques, Sónia Cotrim; Freitas, Rosa; Azeiteiro, Ulisses M.","An emergent treat: Marine heatwaves - Implications for marine decapod crustacean species - An overview","Environmental Research","","00139351","10.1016/j.envres.2023.116004","https://linkinghub.elsevier.com/retrieve/pii/S001393512300796X","","2023-07","2025-02-21 22:50:55","2025-02-21 22:50:55","2025-02-21 22:50:55","116004","","","229","","Environmental Research","An emergent treat","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U2NA53RD","journalArticle","2011","Sato, Jun J.; Hosoda, Tetsuji; Kryukov, Alexey P.; Kartavtseva, Irina V.; Suzuki, Hitoshi","Genetic Diversity of the Sable ( <i>Martes zibellina</i> , Mustelidae) in Russian Far East and Hokkaido Inferred from Mitochondrial NADH Dehydrogenase Subunit 2 Gene Sequences","Mammal Study","","1343-4152, 1348-6160","10.3106/041.036.0404","http://www.bioone.org/doi/abs/10.3106/041.036.0404","","2011-12","2025-02-21 22:50:56","2025-02-21 22:50:56","2025-02-21 22:50:56","209-222","","4","36","","Mammal Study","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JJGIZGTW","journalArticle","1991","Vermeij, Geerat J.","When Biotas Meet: Understanding Biotic Interchange","Science","","0036-8075, 1095-9203","10.1126/science.253.5024.1099","https://www.science.org/doi/10.1126/science.253.5024.1099","When the barrier between biotas with long separate histories breaks down, species invade from one biota to the other. Studies of episodes of marine and terrestrial biotic interchange that have occurred during the last 20 million years show that large-scale extinction of species before the onset of interchange renders biotas especially prone to invasion. As environments and species are being exploited and eliminated on an ever increasing scale in the human-dominated biosphere, the geographical expansion of species from biotas in which evolution of high competitive, defensive, and reproductive abilities has proceeded the furthest will become more frequent. Historical events and interactions are essential ingredients for understanding the current and future structure and composition of the world's biota.","1991-09-06","2025-02-21 22:50:57","2025-02-21 22:50:57","2025-02-21 22:50:57","1099-1104","","5024","253","","Science","When Biotas Meet","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5PXHQDCY","journalArticle","2011","Rosas-Luis, Rigoberto; Tafur-Jimenez, Ricardo; Alegre-Norza, Ana R.; Castillo-Valderrama, Pedro R.; Cornejo-Urbina, Rodolfo M.; Salinas-Zavala, Cesar A.; Sánchez, Pilar","Trophic relationships between the jumbo squid (Dosidicus gigas) and the lightfish (Vinciguerria lucetia) in the Humboldt Current System off Peru","Scientia Marina","","1886-8134, 0214-8358","10.3989/scimar.2011.75n3549","https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/1277","Acoustic surveys for assessing the biomass and distribution of the jumbo squid (Dosidicus gigas) and the lightfish (Vinciguerria lucetia) were carried out in the Humboldt Current System of Peru in 2007 and 2008. At the same time, 937 jumbo squid were caught and their stomach contents analyzed. The diet of the jumbo squid was dominated by mesopelagic fish. The first component of their fish diet was V. lucetia and the second component was the myctophid fish Diogenichthys laternatus. Acoustic biomass estimates of these species show that V. lucetia is an important component in aggregative structures in the Humboldt Current System of Peru and its distribution and movements are closely related to the migratory movements of the jumbo squid. The trophic relationship observed between D. gigas and V. lucetia promotes an increase in jumbo squid biomass and, has a positive trophic effect on the ocean ecosystem.","2011-09-30","2025-02-21 22:50:58","2025-02-21 22:50:58","2025-02-21 22:50:58","549-557","","3","75","","Sci. mar.","","","","","","","","","https://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/947Z7WFI/Trophic relationships between the jumbo squid (Dos - Rosas-Luis et al. - 2011.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGMPN7V2","manuscript","","Anonymous Reviewer","Peer Review #1 of ""Evidence for a trophic cascade on rocky reefs following sea star mass mortality in British Columbia (v0.1)""","","","","","https://peerj.com/articles/1980v0.1/reviews/1/","","","2025-02-21 22:51:01","2025-02-21 22:51:01","2025-02-21 22:51:01","","","","","","","","","","","","","","","","peer review","","","DOI.org (Crossref)","","DOI: 10.7287/peerj.1980v0.1/reviews/1","","/Users/jordanasevigny/Zotero/storage/6GD6WCZI/Peer Review #1 of Evidence for a trophic cascade - Anonymous Reviewer - .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEWUMTTT","journalArticle","2011","Ibáñez, Cm; Cubillos, La; Tafur, R; Argüelles, J; Yamashiro, C; Poulin, E","Genetic diversity and demographic history of Dosidicus gigas (Cephalopoda: Ommastrephidae) in the Humboldt Current System","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps09133","http://www.int-res.com/abstracts/meps/v431/p163-171/","","2011-06-09","2025-02-21 22:51:04","2025-02-21 22:51:04","2025-02-21 22:51:04","163-171","","","431","","Mar. Ecol. Prog. Ser.","Genetic diversity and demographic history of Dosidicus gigas (Cephalopoda","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5P2F9QT4","journalArticle","2016","Bastida-Zavala, J. Rolando; Buelna, Alondra Sofía Rodríguez; De León-González, Jesús Angel; Camacho-Cruz, Karla Andrea; Carmona, Isabel","New records of sabellids and serpulids (Polychaeta: Sabellidae, Serpulidae) from the Tropical Eastern Pacific","Zootaxa","","1175-5334, 1175-5326","10.11646/zootaxa.4184.3.1","https://www.mapress.com/zt/article/view/zootaxa.4184.3.1","Sabellids and serpulids are two well represented families in the polychaete fauna of the Tropical Eastern Pacific, with 31 and 34 species respectively; however, most records come from the Gulf of California or the western coast of Baja California Peninsula. Only a few records are from localities in the large expanse of the central and southern Mexican Pacific. Thus, sabellids and serpulids were collected from several shallow water habitats along the coast of Mexican Pacific, such as coastal lagoons, coral reefs, rocky shores and from man-made structures as marinas, piers and ships of several harbors; additionally, specimens from national collections were revised. More than 8,400 specimens of sabellids and serpulids from the states of Baja California, Baja California Sur, Sonora, Sinaloa, Michoacán, Guerrero, Oaxaca and Chiapas, and some specimens from Panamá and Perú were examined. In the present work we record new localities of four sabellids and 24 serpulids. One sabellid, Branchiomma bairdi, is an exotic/invasive species in Oaxaca, Sinaloa and Baja California Sur, while four species of serpulids are exotic and/or cryptogenic species: Ficopomatus uschakovi, Hydroides dirampha, H. elegans and H. sanctaecrucis. Additionally, the geographical range has been extended for five species: the sabellids Pseudobranchiomma punctata from Oahu, Hawaii to La Paz Bay, and Parasabella pallida from California to Puerto Escondido, Baja California Sur; and for three serpulids, Hydroides inermis from the Galápagos Islands to Agua Blanca, Oaxaca, H. gairacensis from Panamá to Puerto Ángel, Oaxaca, and H. panamensis from Panamá to Huatulco, Oaxaca and Faro de Bucerías, Michoacán. Hydroides cf. amri, previously recorded as H. brachyacantha from Oahu, Hawaii, is more similar to H. amri from Australia. The number of sabellids recorded for the Tropical Eastern Pacific increased to 33, the serpulid species to 35.","2016-11-07","2025-02-21 22:51:05","2025-02-21 22:51:05","2025-02-21 22:51:05","","","3","4184","","Zootaxa","New records of sabellids and serpulids (Polychaeta","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDH5A56C","journalArticle","2014","Martinelli Filho, José Eduardo; Dos Santos, Ronan Brito; Ribeiro, Caio Cesar","Host selection, host-use pattern and competition in Dissodactylus crinitichelis and Clypeasterophilus stebbingi (Brachyura: Pinnotheridae)","Symbiosis","","0334-5114, 1878-7665","10.1007/s13199-014-0292-0","http://link.springer.com/10.1007/s13199-014-0292-0","","2014-07","2025-02-21 22:51:06","2025-02-21 22:51:06","2025-02-21 22:51:06","99-110","","3","63","","Symbiosis","Host selection, host-use pattern and competition in Dissodactylus crinitichelis and Clypeasterophilus stebbingi (Brachyura","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WD7X89P9","journalArticle","2019","","Double Hectocotylization in Hubb's Octopus, Octopus hubbsorum (Cephalopoda: Octopodidae)","Malacologia","","0076-2997","10.4002/040.062.0207","https://bioone.org/journals/malacologia/volume-62/issue-2/040.062.0207/Double-Hectocotylization-in-Hubbs-Octopus-Octopus-hubbsorum-Cephalopoda-Octopodidae/10.4002/040.062.0207.full","","2019-03-29","2025-02-21 22:51:07","2025-02-21 22:51:07","2025-02-21 22:51:07","311","","2","62","","Malacologia","Double Hectocotylization in Hubb's Octopus, Octopus hubbsorum (Cephalopoda","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKPIV9I3","journalArticle","2015","Young, David; Clinton, Patrick; Specht, David; Collura, T Chris Mochon","Comparison of non-native dwarf eelgrass ( <i>Zostera japonica</i> ) and native eelgrass ( <i>Zostera marina</i> ) distributions in a northeast Pacific estuary: 1997–2014","Botanica Marina","","1437-4323, 0006-8055","10.1515/bot-2014-0088","https://www.degruyter.com/document/doi/10.1515/bot-2014-0088/html","Abstract                            In this study, we investigated the rate and pattern of expansion of a non-native eelgrass,               Zostera japonica               , in relation to the distribution of the native eelgrass               Zostera marina               in a coastal estuary of the northeastern Pacific Ocean. The distributions of the               Zostera               congeners were monitored between 1997 and 2014 in Yaquina Estuary on the central Oregon coast, USA, using digital classification of color infrared aerial photographs and ground surveys. Correction factors for seasonal variations in cover were obtained to normalise the annual photo survey results to a common date (mid-August). Major expansions in the distributions of               Z. japonica               meadows over most of the 17-year study period were observed. However, there was no indication that the large (∼1500%) increase in areal extent of               Z. japonica               in the lower estuary between 1997 and 2007 was accompanied by a change in areal extent of the native               Z. marina               in this system.","2015-08-01","2025-02-21 22:51:08","2025-02-21 22:51:08","2025-02-21 22:51:08","239-250","","4","58","","","Comparison of non-native dwarf eelgrass ( <i>Zostera japonica</i> ) and native eelgrass ( <i>Zostera marina</i> ) distributions in a northeast Pacific estuary","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/YK7LAGXN/Comparison of non-native dwarf eelgrass ( Zoste - Young et al. - 2015.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBEXWMTW","journalArticle","2019","Thorson, James T.","Guidance for decisions using the Vector Autoregressive Spatio-Temporal (VAST) package in stock, ecosystem, habitat and climate assessments","Fisheries Research","","01657836","10.1016/j.fishres.2018.10.013","https://linkinghub.elsevier.com/retrieve/pii/S0165783618302820","","2019-02","2025-02-21 22:51:12","2025-02-21 22:51:12","2025-02-21 22:51:12","143-161","","","210","","Fisheries Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HLYWW8J","journalArticle","2001","Jamieson, Glen S","Review of the status of the Northern Abalone, Haliotis kamtschatkana, in Canada","The Canadian field-naturalist","","0008-3550","10.5962/p.363853","https://www.biodiversitylibrary.org/part/363853","","2001","2025-02-21 22:51:12","2025-02-21 22:51:12","2025-02-21 22:51:12","555-563","","4","115","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/WDEVTGF9/Review of the status of the Northern Abalone, Hali - Jamieson - 2001.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGXB8PF5","journalArticle","1989","Turner, R. D.; Santhakumaran, L. N.","The Genera <i>Martesia</i> and <i>Lignopholas</i> in the Indo-Pacific (Mollusca: Bivalvia: Pholadidae)","Ophelia","","0078-5326","10.1080/00785326.1989.10430842","http://www.tandfonline.com/doi/abs/10.1080/00785326.1989.10430842","","1989-09","2025-02-21 22:51:18","2025-02-21 22:51:18","2025-02-21 22:51:18","155-186","","3","30","","Ophelia","The Genera <i>Martesia</i> and <i>Lignopholas</i> in the Indo-Pacific (Mollusca","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48LJ3GGD","journalArticle","2006","Dudas, Se; Dower, Jf","Reproductive ecology and dispersal potential of varnish clam Nuttallia obscurata, a recent invader in the Northeast Pacific Ocean","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps320195","http://www.int-res.com/abstracts/meps/v320/p195-205/","","2006-08-29","2025-02-21 22:51:19","2025-02-21 22:51:19","2025-02-21 22:51:19","195-205","","","320","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5X49AMD","journalArticle","2006","Kimmerer, Wj","Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps324207","http://www.int-res.com/abstracts/meps/v324/p207-218/","","2006-10-23","2025-02-21 22:51:27","2025-02-21 22:51:27","2025-02-21 22:51:27","207-218","","","324","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
